,generationtime,length_birth,length_final,growth_rate,fold_growth,division_ratio
0,0.6,2.792991963317669,6.782819960780032,1.4667961027098209,0.8800776616258925,0.4873445285924027
1,0.4999999999999999,3.305570196313484,6.742235021142928,1.3638452961103138,0.6819226480551568,0.5010584301675454
2,0.5,3.378253695514523,6.837039489543434,1.360600099929874,0.680300049964937,0.474124577777151
3,0.5,3.2416084612254887,6.729773056563064,1.4311350619008711,0.7155675309504356,0.48175191396479305
4,0.6000000000000001,3.242081050547952,7.103455251945489,1.2604442538702443,0.7562665523221467,0.5311641847633737
5,0.44999999999999973,3.773101017902731,6.963859027625778,1.3183370051757886,0.5932516523291045,0.5198781956304845
6,0.3999999999999999,3.6203584659071506,5.965782079008318,1.2335012918058053,0.493400516722322,0.4978748141454275
7,0.5500000000000003,2.9702126438183885,5.859409881465262,1.1886219684151926,0.6537420826283563,0.529168972374819
8,0.5499999999999998,3.1006179056978325,5.999365711107162,1.1729367457552051,0.6451152101653627,0.5291078804348012
9,0.5,3.1743116753571337,5.764467170446325,1.155191260784461,0.5775956303922305,0.5120511273472892
10,0.5999999999999996,2.951701913183479,6.362255962832785,1.230066405686943,0.7380398434121653,0.5037805388494921
11,0.4500000000000002,3.2051807372542953,5.527198389306495,1.18353396136972,0.5325902826163742,0.5345808551962632
12,0.5499999999999998,2.9547344417948747,5.848308544650048,1.2121811942316607,0.6666996568274132,0.5176927111106978
13,0.4499999999999993,3.0276267058917425,5.282424217762484,1.2705091337487444,0.5717291101869341,0.5055256081290808
14,0.5999999999999996,2.6704007150801634,5.581809559967282,1.184236109747927,0.7105416658487558,0.5136349953932136
15,0.3999999999999986,2.8670127276195903,4.6662477379808776,1.1974292311728265,0.4789716924691289,0.5403619235869608
16,0.6500000000000004,2.5214626036286516,5.229381398511657,1.0992258108020159,0.7144967770213108,0.4711623608544667
17,0.7000000000000011,2.463887685531185,5.632714114370575,1.14749170583379,0.8032441940836541,0.5141591944697486
18,0.45000000000000107,2.896111751723158,5.5370160645187125,1.3922556278584435,0.626515032536301,0.4752573775403927
19,0.6500000000000004,2.6315077342221893,6.3426773259457265,1.3102810835004872,0.8516827042753171,0.47697605925547804
20,0.5499999999999989,3.025305236058666,6.306804320996567,1.3375531731195673,0.7356542452157606,0.4894446353403768
21,0.40000000000000036,3.0868315410532774,5.431942566492026,1.321385365246612,0.5285541460986453,0.5083774374618346
22,0.45000000000000107,2.7614770423930772,4.9558397708734425,1.2615498221816548,0.567697419981746,0.48447174748799904
23,0.45000000000000107,2.4009643540655814,4.900553513705265,1.5653994474594324,0.7044297513567462,0.5457096665655169
24,0.5500000000000007,2.6742794239505727,5.214217094352412,1.1866500810831224,0.6526575445957181,0.49456119547371696
25,0.6499999999999986,2.5787494396424195,5.720207302788058,1.1958964057032953,0.7773326637071402,0.5028503040931916
26,0.6500000000000004,2.8764079816830703,6.513397528830369,1.2114094665138466,0.7874161532340007,0.5076026194732794
27,0.40000000000000213,3.306217647305081,5.3513328277656385,1.1972763385415008,0.4789105354166029,0.5023618700611056
28,0.6000000000000014,2.68830556667573,5.822133335537397,1.2444819419759319,0.7466891651855609,0.50983181264934
29,0.5,2.968308791943179,5.481292494275738,1.1971097948807379,0.5985548974403689,0.509056255969222
30,0.4499999999999993,2.790286235008206,4.9968934893180705,1.2659642066882268,0.5696838930097011,0.5120275025045972
31,0.5,2.5585468936170135,4.858958868418449,1.2683360890934878,0.6341680445467439,0.4892844639953272
32,0.7000000000000028,2.3774130855094624,5.541031355494691,1.141048928404878,0.7987342498834178,0.4735023573808566
33,0.5,2.6236914091479795,5.380336353306305,1.4039324795874157,0.7019662397937079,0.5301414906651363
34,0.5500000000000007,2.852339534621628,5.817579601302098,1.2617560458804458,0.6939658252342461,0.48994381732290176
35,1.0,2.850287157441795,11.613161533591178,1.3906409077910546,1.3906409077910546,0.47475137712205273
36,0.14999999999999858,5.513364430813262,6.9463942574510344,1.479641437853689,0.22194621567805126,0.502342713207289
37,0.3999999999999986,3.489470538295484,6.096394702968289,1.3631086400809846,0.5452434560323919,0.5316523082763248
38,0.3500000000000014,3.2411623159966503,5.213153843053607,1.308599038484008,0.4580096634694047,0.5210015748384996
39,0.5500000000000007,2.7160613621063057,5.406482043955825,1.214804159008743,0.6681422874548095,0.5017860608630037
40,0.4499999999999993,2.7128973279631543,4.809823630473486,1.2438470370963932,0.5597311666933761,0.4907247671359045
41,0.6499999999999986,2.360299581028872,5.030103118459176,1.1325228970982801,0.7361398831138805,0.46755884474998394
42,0.6500000000000021,2.351869203040064,5.389715967652656,1.2367588028518532,0.8038932218537073,0.4204404907956702
43,0.5500000000000007,2.266054826689143,4.962195797819107,1.3958004812189693,0.7676902646704341,0.435080640925184
