,generationtime,length_birth,length_final,growth_rate,fold_growth,division_ratio
0,0.5,2.053274303265298,4.051820873877034,1.432718786674587,0.7163593933372935,0.5343309244530725
1,0.55,2.165013193256972,4.833072377534157,1.4437380232651644,0.7940559127958405,0.5241584941473039
2,0.5,2.5332959395132337,4.983962285020277,1.3020441712078028,0.6510220856039014,0.5101680386222007
3,0.55,2.5426582635158166,5.842859993320394,1.4826345736997788,0.8154490155348784,0.47847173242326574
4,0.4500000000000002,2.7956433433105996,5.093996686609713,1.3494103164122113,0.6072346423854953,0.5204499529419684
5,0.6500000000000004,2.651170335832568,5.869623274551676,1.224591886853122,0.7959847264545298,0.5010436715242241
6,0.5499999999999998,2.940937595945411,6.271080614322549,1.25400033855734,0.6897001862065367,0.5129113196900685
7,0.4500000000000002,3.2165082337749844,6.370278852666865,1.4651469482476454,0.6593161267114407,0.5008065786187342
8,0.4500000000000002,3.1902775570513686,6.195843061810989,1.4150592717079624,0.6367766722685834,0.5034304594322943
9,0.4500000000000002,3.119176119177899,6.038403868691853,1.3667147336161098,0.6150216301272496,0.4626421523263443
