,index,n,r,CI95%,r2,adj_r2,p-val,BF10,power,X,Y,X_covars,Y_covars
32,pearson,11718,0.033,[0.01 0.05],0.001,0.001,0.0003882558757466032,6.262,0.944,generationtime_m,length_birth_m,['division_ratios__f_n_m'],"['division_ratios__f_n_m', 'phi_m']"
33,pearson,11718,0.02,[0.   0.04],0.0,0.0,0.02876392631428536,0.126,0.59,generationtime_m,length_birth_m,['division_ratios__f_n_m'],"['growth_length_m', 'division_ratios__f_n_m', 'phi_m']"
34,pearson,11718,-0.333,[-0.35 -0.32],0.111,0.111,2.4270131702181833e-301,9.384e+296,1.0,generationtime_m,length_birth_m,['division_ratios__f_n_m'],None
35,pearson,11718,-0.374,[-0.39 -0.36],0.14,0.14,0.0,inf,1.0,generationtime_m,length_birth_m,['division_ratios__f_n_m'],['growth_length_m']
36,pearson,11718,-0.335,[-0.35 -0.32],0.112,0.112,4.977095016889443e-305,4.543e+300,1.0,generationtime_m,length_birth_m,['division_ratios__f_n_m'],['division_ratios__f_n_m']
37,pearson,11718,0.038,[0.02 0.06],0.001,0.001,4.711609363748278e-05,45.634,0.983,generationtime_m,length_birth_m,['division_ratios__f_n_m'],['phi_m']
38,pearson,11718,-0.375,[-0.39 -0.36],0.141,0.141,0.0,inf,1.0,generationtime_m,length_birth_m,['division_ratios__f_n_m'],"['growth_length_m', 'division_ratios__f_n_m']"
39,pearson,11718,0.025,[0.01 0.04],0.001,0.0,0.006476925209451748,0.471,0.777,generationtime_m,length_birth_m,['division_ratios__f_n_m'],"['growth_length_m', 'phi_m']"
40,pearson,11718,0.033,[0.01 0.05],0.001,0.001,0.0003882558757466032,6.262,0.944,generationtime_m,length_birth_m,['division_ratios__f_n_m'],"['division_ratios__f_n_m', 'phi_m']"
41,pearson,11718,0.02,[0.   0.04],0.0,0.0,0.02876392631428536,0.126,0.59,generationtime_m,length_birth_m,['division_ratios__f_n_m'],"['growth_length_m', 'division_ratios__f_n_m', 'phi_m']"
42,pearson,11718,-0.027,[-0.05 -0.01],0.001,0.001,0.003242601294330707,0.881,0.837,generationtime_m,length_birth_m,['phi_m'],"['growth_length_m', 'division_ratios__f_n_m']"
43,pearson,11718,0.03,[0.01 0.05],0.001,0.001,0.0012515287510984998,2.111,0.897,generationtime_m,length_birth_m,['phi_m'],"['growth_length_m', 'phi_m']"
44,pearson,11718,0.051,[0.03 0.07],0.003,0.002,4.442739384078749e-08,3.677e+04,1.0,generationtime_m,length_birth_m,['phi_m'],"['division_ratios__f_n_m', 'phi_m']"
45,pearson,11718,0.031,[0.01 0.05],0.001,0.001,0.0007463394668996596,3.406,0.921,generationtime_m,length_birth_m,['phi_m'],"['growth_length_m', 'division_ratios__f_n_m', 'phi_m']"
