,generationtime,length_birth,length_final,growth_rate,fold_growth,division_ratio
mean,0.6051724137931035,2.8132977305589826,5.664767743175259,1.154232000866476,0.6864570313926879,0.4971939438171372
std,0.2072564423844548,0.8154501146708921,1.3799834777034334,0.1399519714242694,0.20342558921994075,0.043066809714732604
