,generationtime,length_birth,length_final,growth_rate,fold_growth,division_ratio
mean,0.4660714285714286,2.4382651999894427,4.783441894676668,1.4706042756638324,0.6845060683809779,0.5121492513815561
std,0.09530999270273122,0.29917227733834406,0.454391384266798,0.1731485261824603,0.1642000663088184,0.036397580936256
