,T,normed_fluor
0,0.0,3.038195868099861
1,0.05016666666666667,2.8656840362905833
2,0.10033333333333334,2.801207633422794
3,0.15050000000000002,2.6235386120524913
4,0.2006666666666667,2.5538212584669
5,0.25083333333333335,2.5178666375878125
6,0.30100000000000005,2.456365318841156
7,0.3511666666666667,2.605296281876939
8,0.4013333333333334,2.4900012697795977
9,0.45150000000000007,2.364734875482122
10,0.5016666666666667,2.2357802738954224
11,0.5518333333333334,2.0978900545587056
12,0.6020000000000001,2.0222441547783383
13,0.6521666666666667,1.9586743560875683
14,0.7023333333333334,1.9152785210005703
15,0.7525,1.8354910346873843
16,0.8026666666666668,1.8994118411263257
17,0.8528333333333334,1.9310223566766191
18,0.9030000000000001,1.890366335911382
19,0.9531666666666666,1.8056917347615171
20,1.0033333333333334,1.943005089471079
21,1.0535,1.9205537764655507
22,1.1036666666666668,1.8873438812284726
23,1.1538333333333335,1.9492861492684501
24,1.2040000000000002,1.9955294486446664
25,1.2541666666666667,1.9639137211353428
26,1.3043333333333333,2.3337696105696466
27,1.3545,2.088302569457188
28,1.4046666666666667,2.199110345561178
29,1.4548333333333334,2.2081861780456347
30,1.505,2.348391869377743
31,1.5551666666666668,2.322045014745492
32,1.6053333333333335,2.319619748403379
33,1.6555000000000002,2.214828089515839
34,1.7056666666666669,2.3224149680578545
35,1.7558333333333334,2.2962001124737337
36,1.8060000000000003,2.3163605021035547
37,1.8561666666666667,2.397098456589941
38,1.9063333333333332,2.316383858810201
39,1.9565000000000001,2.248735237918142
40,2.006666666666667,2.182354511861764
41,2.0568333333333335,2.1210178633510277
42,2.107,2.210455080295826
43,2.1571666666666665,2.2230584858426963
44,2.2073333333333336,2.2785467549526675
45,2.2575,2.0407486073834225
46,2.307666666666667,2.0871740246868886
47,2.3578333333333332,2.0592352478059133
48,2.4080000000000004,2.0382084890457297
49,2.4581666666666666,1.9285802652048982
50,2.5083333333333333,1.906270816456321
51,2.5585000000000004,1.8474318563074739
52,2.6086666666666667,1.8946807072666638
53,2.658833333333334,1.831889956773483
54,2.709,1.7534547197487536
55,2.7591666666666668,1.7738427488060757
56,2.8093333333333335,1.849920482937635
57,2.8595,1.9279786524190454
58,2.909666666666667,1.9037695922631155
59,2.9598333333333335,1.871440611220215
60,3.01,1.8383493193121674
61,3.060166666666667,2.0056829753772534
62,3.1103333333333336,2.075765477375764
63,3.1605000000000003,1.9960047452534913
64,3.210666666666667,1.9640979408735335
65,3.2608333333333333,1.9949031515525983
66,3.3110000000000004,2.0358998253214735
67,3.3611666666666666,1.981923019008992
68,3.4113333333333338,2.074078829966608
69,3.4615,2.068102178906485
70,3.5116666666666667,2.052995144056168
71,3.561833333333333,2.0471508512143983
72,3.6120000000000005,1.9839746418972557
73,3.662166666666667,2.0547851925820555
74,3.7123333333333335,1.890035066562413
75,3.7625,1.9352963439961135
76,3.8126666666666664,1.9376491191449268
77,3.862833333333334,1.970537596939257
78,3.9130000000000003,1.952991245539765
79,3.963166666666667,1.8787910937084815
80,4.013333333333334,1.7933598752066515
81,4.0634999999999994,1.7908100725755092
82,4.113666666666667,1.7515363809398652
83,4.163833333333334,1.7802841980623998
84,4.214,1.75540525617284
85,4.264166666666667,1.86440011391949
86,4.314333333333333,1.6633756842371672
87,4.3645000000000005,1.5262670485737697
88,4.414666666666667,1.48120743856959
89,4.464833333333334,1.4290951833295504
90,4.515,1.3262742089854063
91,4.565166666666666,1.2424417103613568
92,4.615333333333334,1.363110427812359
93,4.665500000000001,1.3388425808025681
94,4.7156666666666665,1.39157240130745
95,4.765833333333333,1.334908794198281
96,4.816000000000001,1.5288698700510266
97,4.866166666666667,1.4080959848978944
98,4.916333333333333,1.4236299614027943
99,4.9665,1.3795885005446318
100,5.016666666666667,1.5120402574665455
101,5.066833333333334,1.4608899079759534
102,5.117000000000001,1.7862834342783167
103,5.167166666666667,1.9503853644643032
104,5.217333333333333,1.6520344055182319
105,5.2675,1.6081800510626534
106,5.317666666666668,1.6873280866720102
107,5.3678333333333335,1.6302050423148
108,5.418,1.652314470495848
109,5.468166666666667,1.6390173955044327
110,5.5183333333333335,1.6311238183716363
111,5.5685,1.594730222305198
112,5.618666666666667,1.520768929315008
113,5.668833333333334,1.533764011321497
114,5.719,1.3376986928124002
115,5.769166666666667,1.3162856398249188
116,5.819333333333334,1.438085035783403
117,5.8695,1.3001244456879693
118,5.919666666666667,1.2795929081722257
119,5.969833333333334,1.2870868592111107
120,6.02,1.4935027984481284
121,6.070166666666667,1.1944744391384028
122,6.120333333333334,1.3078811337365484
123,6.1705000000000005,1.2233216852210431
124,6.220666666666667,1.2804157086241477
125,6.270833333333333,1.289627499010759
126,6.321000000000001,1.198043401913231
127,6.371166666666667,1.208362766850096
128,6.421333333333334,1.2803885021448036
129,6.4715,1.4897290953429738
130,6.5216666666666665,1.5085572614197202
131,6.571833333333334,1.664164970116402
132,6.622000000000001,1.547184060876596
133,6.672166666666667,1.4933003168994332
134,6.722333333333333,1.6003992826459401
135,6.7725,1.7458954422974085
136,6.8226666666666675,1.8420708709007858
137,6.872833333333333,1.8442895292274077
138,6.923,1.8603344958798451
139,6.973166666666668,1.8135201477735847
140,7.023333333333333,1.7396703917708323
141,7.073500000000001,1.7063438167608116
142,7.123666666666666,1.742479917042307
143,7.1738333333333335,1.7657514178689413
144,7.224000000000001,2.0674814476226304
145,7.274166666666667,2.1760350075478145
146,7.324333333333334,2.178573731772935
147,7.374499999999999,2.0906227186470536
148,7.424666666666667,2.139370623737623
149,7.4748333333333346,2.318696335059873
