,division_ratio,fold_growth,generationtime,growth_rate,length_birth,length_final,log_traj_avg_division_ratio,log_traj_avg_fold_growth,log_traj_avg_generationtime,log_traj_avg_growth_rate,log_traj_avg_length_birth,log_traj_avg_length_final,log_trap_avg_division_ratio,log_trap_avg_fold_growth,log_trap_avg_generationtime,log_trap_avg_growth_rate,log_trap_avg_length_birth,log_trap_avg_length_final,traj_avg_division_ratio,traj_avg_fold_growth,traj_avg_generationtime,traj_avg_growth_rate,traj_avg_length_birth,traj_avg_length_final,trap_avg_division_ratio,trap_avg_fold_growth,trap_avg_generationtime,trap_avg_growth_rate,trap_avg_length_birth,trap_avg_length_final
15,0.5257492635777005,1.0080106590358593,0.7000000000000001,1.4400152271940847,2.11714388024927,5.718380726308339,0.498411095834628,0.6906838037586777,0.46842105263157907,1.4819872911040304,2.6553583513208325,5.315945010401282,0.5113719844180751,0.6530501236228697,0.45769230769230773,1.4282483474978165,2.713729038372326,5.27253192392567,0.498411095834628,0.6906838037586777,0.46842105263157907,1.4819872911040304,2.6553583513208325,5.315945010401282,0.5113719844180751,0.6530501236228697,0.45769230769230773,1.4282483474978165,2.713729038372326,5.27253192392567
16,0.48161393867648467,0.7549424054432845,0.75,1.0065898739243793,2.458387648461713,5.669189790850063,0.504193839570972,0.6630572504815584,0.636111111111111,1.0520153683026219,2.61248622385381,5.24260122109257,0.4998712206515886,0.6863218023713523,0.6833333333333331,1.02434794112157,2.7536350243212624,5.709076669971907,0.504193839570972,0.6630572504815584,0.636111111111111,1.0520153683026219,2.61248622385381,5.24260122109257,0.4998712206515886,0.6863218023713523,0.6833333333333331,1.02434794112157,2.7536350243212624,5.709076669971907
17,0.5070335375516616,0.5696504493210375,0.40000000000000013,1.4241261233025932,2.4909256095860433,4.421810483118996,0.4781787609752622,0.7081395299813592,0.5999999999999999,1.1841675262061284,2.521660315525384,5.251971476833033,0.48584067246109025,0.6866541289429263,0.5928571428571426,1.1654660138195632,2.464852755799577,5.029479213744396,0.4781787609752622,0.7081395299813592,0.5999999999999999,1.1841675262061284,2.521660315525384,5.251971476833033,0.48584067246109025,0.6866541289429263,0.5928571428571426,1.1654660138195632,2.464852755799577,5.029479213744396
18,0.4981632987896303,0.8976937904339366,0.5,1.7953875808678732,2.1844470970899694,5.263543248151055,0.5046888452799166,0.6787930167211936,0.4522727272727275,1.510655962216842,2.5973676349212944,5.153711611943034,0.5108996014371452,0.6675037988174324,0.44477611940298534,1.5109673930097687,2.516149632788698,4.941506161450825,0.5046888452799166,0.6787930167211936,0.4522727272727275,1.510655962216842,2.5973676349212944,5.153711611943034,0.5108996014371452,0.6675037988174324,0.44477611940298534,1.5109673930097687,2.516149632788698,4.941506161450825
19,0.520811385000684,0.6513621795848279,0.44999999999999996,1.4474715101885065,2.190874189349072,4.273940211827274,0.521273217438864,0.6519448121332492,0.5152173913043478,1.2748851623249364,2.4504684356122284,4.759375281074327,0.5139488636294179,0.6552715133797922,0.4927083333333333,1.3473501712179363,2.5212444447568356,4.91756657648333,0.521273217438864,0.6519448121332492,0.5152173913043478,1.2748851623249364,2.4504684356122284,4.759375281074327,0.5139488636294179,0.6552715133797922,0.4927083333333333,1.3473501712179363,2.5212444447568356,4.91756657648333
20,0.4787180918129407,0.7149643840360815,0.49999999999999994,1.4299287680721633,2.4684512329564465,5.228410873241278,0.5140933913816167,0.6317084142066064,0.4624999999999999,1.3703981537254657,2.7764121138143865,5.341473859523791,0.5207640745704148,0.6253954288778246,0.4673913043478261,1.345240806996424,2.8731968852612995,5.449281298327994,0.5140933913816167,0.6317084142066064,0.4624999999999999,1.3703981537254657,2.7764121138143865,5.341473859523791,0.5207640745704148,0.6253954288778246,0.4673913043478261,1.345240806996424,2.8731968852612995,5.449281298327994
21,0.4792255539468218,0.7184434469785916,0.6000000000000001,1.1974057449643192,2.7209870456650576,5.705555787302797,0.49428367263668455,0.6738676074555634,0.586842105263158,1.1627718513203904,2.6722978452311628,5.432883159107516,0.5027226660845839,0.6720374052726915,0.6027027027027028,1.1255033778252799,2.5266801995634545,5.091216611182787,0.49428367263668455,0.6738676074555634,0.586842105263158,1.1627718513203904,2.6722978452311628,5.432883159107516,0.5027226660845839,0.6720374052726915,0.6027027027027028,1.1255033778252799,2.5266801995634545,5.091216611182787
22,0.5351720123031222,0.5662577022622075,0.44999999999999996,1.2583504494715725,2.295825855845959,3.97460628967577,0.5199129079239134,0.6453739434407089,0.4386206896551725,1.4863948791122905,2.4757828361669985,4.766539673107772,0.5184456835437677,0.6498373189917255,0.45678571428571446,1.4363545965294062,2.5481478460039777,4.920909001231244,0.5199129079239134,0.6453739434407089,0.4386206896551725,1.4863948791122905,2.4757828361669985,4.766539673107772,0.5184456835437677,0.6498373189917255,0.45678571428571446,1.4363545965294062,2.5481478460039777,4.920909001231244
23,0.4875661703898261,0.4602666909680042,0.3,1.5342223032266809,3.8210883760291976,6.061862452577988,0.48417151072849623,0.6989544846336684,0.5909090909090909,1.199735631290823,2.830096331041176,5.767495264677355,0.4966262111036794,0.6741439632864524,0.5652173913043478,1.2115338969157265,2.9644957004955126,5.876660630418517,0.48417151072849623,0.6989544846336684,0.5909090909090909,1.199735631290823,2.830096331041176,5.767495264677355,0.4966262111036794,0.6741439632864524,0.5652173913043478,1.2115338969157265,2.9644957004955126,5.876660630418517
24,0.5093747503661359,0.8464379037916766,0.6000000000000001,1.410729839652794,1.9648533511168003,4.5795270265417845,0.5127900944462777,0.6465707349527299,0.5473684210526316,1.1967566340228453,2.210213724524925,4.311439687395564,0.5107933692253807,0.653211737215649,0.5294871794871795,1.2517155782968408,2.3563676555139685,4.5983462378196895,0.5127900944462777,0.6465707349527299,0.5473684210526316,1.1967566340228453,2.210213724524925,4.311439687395564,0.5107933692253807,0.653211737215649,0.5294871794871795,1.2517155782968408,2.3563676555139685,4.5983462378196895
